"Date Printed: Thursday, September 14, 2023 10:43:39 AM"
Title: "Early Non-Primary, Non-Secondary Syphilis | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | Unknown | White | Female | Male | All age groups | All transmission categories""
Footnote(s): 
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","American Indian/Alaska Native","Female","All transmission categories","10","6.0","167,747"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","American Indian/Alaska Native","Male","All transmission categories","12","7.4","162,272"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Multiracial","Female","All transmission categories","2","2.9","68,708"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Multiracial","Male","All transmission categories","7","10.4","67,176"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Unknown","Female","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Unknown","Male","All transmission categories","8","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","White","Female","All transmission categories","25","1.6","1,600,076"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","White","Male","All transmission categories","144","9.3","1,554,428"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","2","24.1","8,303"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","11.8","8,481"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Hispanic/Latino","Female","All transmission categories","6","2.2","266,966"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Hispanic/Latino","Male","All transmission categories","64","22.4","286,098"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Black/African American","Female","All transmission categories","6","16.2","37,150"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Black/African American","Male","All transmission categories","18","41.2","43,688"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Asian","Female","All transmission categories","0","0.0","104,184"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","Asian","Male","All transmission categories","12","13.3","89,920"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","4.3","23,412"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","8.6","23,296"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Multiracial","Female","All transmission categories","4","3.7","109,512"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Multiracial","Male","All transmission categories","27","25.8","104,767"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Unknown","Female","All transmission categories","12","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Unknown","Male","All transmission categories","54","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","White","Female","All transmission categories","57","1.1","4,971,215"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","White","Male","All transmission categories","340","7.1","4,769,435"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","2,049"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","2","106.0","1,886"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Hispanic/Latino","Female","All transmission categories","46","9.6","478,287"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Hispanic/Latino","Male","All transmission categories","170","34.3","495,374"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Black/African American","Female","All transmission categories","67","9.3","721,083"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Black/African American","Male","All transmission categories","390","58.3","669,139"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Asian","Female","All transmission categories","1","0.4","237,792"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","Asian","Male","All transmission categories","20","9.0","221,649"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","9,443"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","21.5","9,291"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Multiracial","Female","All transmission categories","0","0.0","11,312"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Multiracial","Male","All transmission categories","4","36.6","10,928"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","White","Female","All transmission categories","2","0.5","394,318"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","White","Male","All transmission categories","35","9.5","367,034"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","330"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","331"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Hispanic/Latino","Female","All transmission categories","1","1.2","83,697"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Hispanic/Latino","Male","All transmission categories","13","15.4","84,663"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Black/African American","Female","All transmission categories","2","6.2","32,055"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Black/African American","Male","All transmission categories","9","28.3","31,794"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Asian","Female","All transmission categories","0","0.0","19,407"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","Asian","Male","All transmission categories","0","0.0","17,854"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","2,308"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","2,256"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Multiracial","Female","All transmission categories","0","0.0","44,711"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Multiracial","Male","All transmission categories","0","0.0","42,632"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Unknown","Female","All transmission categories","7","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Unknown","Male","All transmission categories","11","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","White","Female","All transmission categories","57","3.4","1,658,158"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","White","Male","All transmission categories","178","11.3","1,581,877"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,425"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,601"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Hispanic/Latino","Female","All transmission categories","6","4.3","139,332"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Hispanic/Latino","Male","All transmission categories","21","13.4","156,616"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Black/African American","Female","All transmission categories","102","14.1","721,128"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Black/African American","Male","All transmission categories","348","55.2","630,909"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Asian","Female","All transmission categories","0","0.0","46,208"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","Asian","Male","All transmission categories","1","2.4","40,850"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","9,429"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","10.8","9,280"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Multiracial","Female","All transmission categories","0","0.0","9,422"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Multiracial","Male","All transmission categories","0","0.0","9,364"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","White","Female","All transmission categories","0","0.0","356,806"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","White","Male","All transmission categories","7","1.9","360,270"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","223"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","272"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","16,720"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Hispanic/Latino","Male","All transmission categories","0","0.0","19,779"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Black/African American","Female","All transmission categories","0","0.0","7,757"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Black/African American","Male","All transmission categories","1","8.9","11,293"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Asian","Female","All transmission categories","0","0.0","6,967"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","Asian","Male","All transmission categories","0","0.0","6,379"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","2.7","37,310"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","36,136"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Multiracial","Female","All transmission categories","0","0.0","60,765"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Multiracial","Male","All transmission categories","0","0.0","58,129"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Unknown","Female","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","White","Female","All transmission categories","18","0.7","2,551,114"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","White","Male","All transmission categories","125","5.1","2,440,815"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,762"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,827"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Hispanic/Latino","Female","All transmission categories","1","0.6","179,546"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Hispanic/Latino","Male","All transmission categories","21","10.5","199,368"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Black/African American","Female","All transmission categories","64","10.7","598,354"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Black/African American","Male","All transmission categories","234","43.7","535,723"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Asian","Female","All transmission categories","1","1.5","65,995"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","Asian","Male","All transmission categories","0","0.0","59,121"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","9,385"
"Early Non-Primary, Non-Secondary Syphilis","2018","Tennessee","47","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","10.3","9,727"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Multiracial","Female","All transmission categories","1","0.5","215,508"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Multiracial","Male","All transmission categories","0","0.0","210,358"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Unknown","Female","All transmission categories","37","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Unknown","Male","All transmission categories","111","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","White","Female","All transmission categories","156","2.6","6,008,797"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","White","Male","All transmission categories","844","14.3","5,905,537"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","12,757"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","12,077"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Hispanic/Latino","Female","All transmission categories","354","6.3","5,625,102"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Hispanic/Latino","Male","All transmission categories","1,322","23.2","5,698,801"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Black/African American","Female","All transmission categories","280","15.8","1,774,200"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Black/African American","Male","All transmission categories","1,075","64.8","1,659,808"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Asian","Female","All transmission categories","4","0.6","726,490"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","Asian","Male","All transmission categories","52","7.6","686,487"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","2.2","46,497"
"Early Non-Primary, Non-Secondary Syphilis","2018","Texas","48","All age groups","American Indian/Alaska Native","Male","All transmission categories","6","13.0","46,247"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Multiracial","Female","All transmission categories","0","0.0","32,272"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Multiracial","Male","All transmission categories","0","0.0","33,332"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Unknown","Male","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","White","Female","All transmission categories","4","0.3","1,227,415"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","White","Male","All transmission categories","72","5.8","1,236,546"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","14,621"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","15,865"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Hispanic/Latino","Female","All transmission categories","1","0.5","218,891"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Hispanic/Latino","Male","All transmission categories","15","6.5","230,259"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Black/African American","Female","All transmission categories","0","0.0","15,394"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Black/African American","Male","All transmission categories","3","14.3","20,960"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Asian","Female","All transmission categories","0","0.0","41,574"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","Asian","Male","All transmission categories","3","8.2","36,616"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","15,143"
"Early Non-Primary, Non-Secondary Syphilis","2018","Utah","49","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","13.6","14,662"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Multiracial","Female","All transmission categories","0","0.0","5,705"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Multiracial","Male","All transmission categories","0","0.0","5,539"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","White","Female","All transmission categories","3","1.0","293,319"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","White","Male","All transmission categories","12","4.2","285,432"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","83"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","854.7","117"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","6,138"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Hispanic/Latino","Male","All transmission categories","1","15.7","6,366"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Black/African American","Female","All transmission categories","0","0.0","3,367"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Black/African American","Male","All transmission categories","0","0.0","4,547"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Asian","Female","All transmission categories","0","0.0","6,442"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","Asian","Male","All transmission categories","1","19.1","5,235"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","1,025"
"Early Non-Primary, Non-Secondary Syphilis","2018","Vermont","50","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","1,043"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Multiracial","Female","All transmission categories","2","1.7","115,187"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Multiracial","Male","All transmission categories","22","19.6","112,202"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Unknown","Female","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","White","Female","All transmission categories","18","0.7","2,648,427"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","White","Male","All transmission categories","180","7.0","2,587,663"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","3,346"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","3,078"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Hispanic/Latino","Female","All transmission categories","4","1.0","395,492"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Hispanic/Latino","Male","All transmission categories","71","16.9","421,054"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Black/African American","Female","All transmission categories","48","5.7","844,578"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Black/African American","Male","All transmission categories","306","39.3","779,035"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Asian","Female","All transmission categories","2","0.7","299,847"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","Asian","Male","All transmission categories","7","2.6","268,780"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","11,148"
"Early Non-Primary, Non-Secondary Syphilis","2018","Virginia","51","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","11,449"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Multiracial","Female","All transmission categories","5","3.3","153,607"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Multiracial","Male","All transmission categories","29","19.0","152,512"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Unknown","Female","All transmission categories","8","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Unknown","Male","All transmission categories","26","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","White","Female","All transmission categories","40","1.6","2,566,312"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","White","Male","All transmission categories","280","10.9","2,557,739"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","3.8","26,341"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","4","15.1","26,573"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Hispanic/Latino","Female","All transmission categories","12","2.6","467,708"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Hispanic/Latino","Male","All transmission categories","111","22.2","499,147"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Black/African American","Female","All transmission categories","5","3.7","135,809"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Black/African American","Male","All transmission categories","43","26.9","160,125"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Asian","Female","All transmission categories","0","0.0","361,068"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","Asian","Male","All transmission categories","29","9.0","321,061"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","2.1","48,073"
"Early Non-Primary, Non-Secondary Syphilis","2018","Washington","53","All age groups","American Indian/Alaska Native","Male","All transmission categories","4","8.4","47,794"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Multiracial","Female","All transmission categories","1","6.6","15,263"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Multiracial","Male","All transmission categories","0","0.0","15,311"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","White","Female","All transmission categories","17","2.0","842,951"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","White","Male","All transmission categories","27","3.3","818,574"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","199"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","198"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","14,036"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Hispanic/Latino","Male","All transmission categories","2","12.3","16,297"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Black/African American","Female","All transmission categories","1","3.5","28,903"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Black/African American","Male","All transmission categories","6","17.6","34,098"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Asian","Female","All transmission categories","0","0.0","7,815"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","Asian","Male","All transmission categories","1","14.7","6,818"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","1,815"
"Early Non-Primary, Non-Secondary Syphilis","2018","West Virginia","54","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","2,013"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Multiracial","Female","All transmission categories","0","0.0","49,593"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Multiracial","Male","All transmission categories","0","0.0","48,878"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","Unknown","Male","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Wisconsin","55","All age groups","White","Female","All transmission categories","11","0.5","2,369,155"
